Wall time,Step,Value
1652562878.601301,193,-0.7601972222328186
1652562914.5531769,273,-0.8949446082115173
1652562921.7971725,290,-0.9044444561004639
1652562991.84246,450,-0.81019526720047
1652563023.3655076,520,-0.8288546204566956
1652563045.3887556,570,-0.8121061325073242
1652563068.506308,621,-0.6821750402450562
1652563087.3586667,666,-0.7016577124595642
1652563117.5484304,735,-0.773273766040802
1652563189.1051297,898,-0.8813990950584412
1652563217.4317677,967,-0.7804322838783264
1652563293.9484248,1145,-0.8178040981292725
1652563298.9688094,1157,-0.800168514251709
1652563342.6072252,1256,-0.8294607996940613
1652563346.8270576,1264,-0.8335909843444824
1652563363.4131367,1299,-0.8257498741149902
1652563372.540395,1321,-0.7700636386871338
1652563413.7076437,1418,-0.7731356620788574
1652563483.6545324,1581,-0.7799064517021179
1652563502.7026534,1627,-0.7617309093475342
1652563521.2955384,1667,-0.811899721622467
1652563528.740463,1685,-0.7662625312805176
1652563546.3289824,1727,-0.739135205745697
1652563554.2817273,1746,-0.8047113418579102
1652563606.5130358,1863,-0.7394077777862549
1652563739.2698967,2164,-0.7792577743530273
1652563748.6765962,2187,-0.7949697971343994
1652563979.1740162,2718,-0.7902698516845703
1652563981.3826084,2723,-0.7860473394393921
1652563991.3933809,2746,-0.7640457153320312
1652564011.496156,2792,-0.7807968854904175
1652564048.268187,2875,-0.8069498538970947
1652564079.8142076,2948,-0.7921674251556396
1652564099.4486961,2994,-0.766907811164856
1652564103.6427455,3004,-0.7780088186264038
1652564111.9796677,3021,-0.7767062187194824
1652564116.2925367,3031,-0.7721536159515381
1652564139.4931793,3087,-0.7936576008796692
1652564238.645106,3316,-0.7671128511428833
1652564293.3835452,3439,-0.7611077427864075
1652564302.8960092,3462,-0.7912405729293823
1652564303.3021095,3463,-0.7991386651992798
1652564323.2567918,3508,-0.7960475087165833
1652564358.0813801,3588,-0.8190496563911438
1652564370.35914,3615,-0.8065891265869141
1652564381.956415,3642,-0.7997294664382935
1652564427.61998,3743,-0.800456166267395
1652564499.3082385,3904,-0.8295289278030396
1652564531.0149405,3977,-0.8150418996810913
1652564547.6570783,4015,-0.824917197227478
1652564555.8247736,4033,-0.8274344205856323
1652564574.9354503,4076,-0.8381010293960571
1652564581.441576,4091,-0.7984196543693542
1652564582.7288945,4094,-0.8088233470916748
1652564602.0681405,4140,-0.8074100017547607
1652564635.621151,4218,-0.8131378889083862
1652564667.7942748,4292,-0.8350822925567627
1652564701.0020523,4367,-0.8156024217605591
1652564751.0002472,4487,-0.8171334266662598
1652564793.3458426,4583,-0.8139311075210571
1652564798.822911,4596,-0.8223303556442261
1652564828.5595517,4663,-0.8082751631736755
1652564833.4557679,4675,-0.8189334869384766
1652564849.4384356,4714,-0.8209306001663208
1652564892.2740138,4816,-0.8175595998764038
1652564896.756784,4827,-0.8228563070297241
1652564999.4391706,5062,-0.8402019739151001
1652565011.5073416,5090,-0.8168944120407104
1652565071.8679302,5230,-0.8016120791435242
1652565141.7889316,5389,-0.8451592922210693
1652565143.5419369,5393,-0.8181999921798706
1652565266.7338338,5676,-0.8235534429550171
1652565286.0586336,5723,-0.832541823387146
1652565289.1411984,5728,-0.8437170386314392
1652565312.5299451,5785,-0.8311379551887512
1652565318.2664506,5799,-0.8275496959686279
1652565347.6721408,5868,-0.8138391375541687
1652565363.416602,5905,-0.8269848227500916
1652565395.7032135,5980,-0.8333759903907776
1652565440.6449533,6082,-0.8434000015258789
1652565543.136701,6320,-0.8176124095916748
1652565621.4217238,6504,-0.8357177972793579
1652565636.9392612,6542,-0.8292737603187561
1652565642.6532054,6556,-0.8220332264900208
1652565690.7494173,6670,-0.8086843490600586
1652565697.9484615,6688,-0.8130370378494263
1652565724.5342443,6750,-0.8173668384552002
1652565764.637621,6845,-0.8280154466629028
1652565805.4735873,6942,-0.8343772888183594
1652565830.7351084,7002,-0.8324708342552185
1652565855.6576989,7063,-0.8395428657531738
1652565872.6353214,7103,-0.7995359301567078
1652565967.313422,7325,-0.8163731098175049
1652565975.0856988,7343,-0.8165363073348999
1652565977.6617694,7349,-0.8153753280639648
1652565981.874955,7359,-0.8193776607513428
1652566043.9991915,7505,-0.8034101724624634
1652566053.3412848,7527,-0.8330923914909363
1652566101.8709402,7639,-0.8316949605941772
1652566134.9373338,7716,-0.8197786211967468
1652566168.5065508,7796,-0.8021445870399475
1652566170.9640365,7802,-0.8181930780410767
1652566198.0777357,7866,-0.83585125207901
1652566291.9137952,8088,-0.8244311809539795
1652566380.8276718,8292,-0.8249999284744263
1652566393.8630567,8323,-0.814723014831543
1652566395.936172,8328,-0.8296287655830383
1652566431.540652,8411,-0.8162153959274292
1652566460.6732883,8479,-0.8271215558052063
1652566480.0181348,8524,-0.8183566331863403
1652566520.0812526,8616,-0.8325111865997314
1652566521.7955997,8620,-0.8335041999816895
1652566535.2164967,8649,-0.8153070211410522
1652566553.550984,8691,-0.8191573619842529
1652566566.3005466,8721,-0.831815779209137
1652566643.8449392,8905,-0.8445124626159668
1652566710.5340219,9057,-0.8294045925140381
1652566791.813216,9245,-0.8179317116737366
1652566913.7799547,9532,-0.842055082321167
1652566916.6806662,9539,-0.8391983509063721
1652566946.62886,9610,-0.8232146501541138
1652566966.5592237,9656,-0.833838939666748
1652566983.1354895,9695,-0.8328709602355957
1652566997.8899257,9728,-0.8368481993675232
1652567011.394302,9759,-0.8215208053588867
1652567023.0957918,9786,-0.8319119215011597
1652567023.9458716,9788,-0.826115608215332
1652567046.3013155,9839,-0.8300057649612427
1652567050.851878,9850,-0.829703688621521
1652567068.0726728,9891,-0.8391454219818115
1652567072.4322445,9899,-0.8526633977890015
1652567159.3285413,10101,-0.8210782408714294
1652567189.030623,10171,-0.8265740871429443
1652567203.9789875,10205,-0.831714928150177
